FUENTE_PAGO,ID_PAGO,FECHA_PAGO,FECHA_REMESA,IDCLIENTE,IDMOROSO,MONTO
MEMO_PAGO_OPERADOR,827240,2021-01-05,2021-01-07,BSR_TARDIA,2811,14650
PAGOPOTENCIAL,60918,2020-03-09,,AMEX_TNLM,1275,4489.03
MEMO_PAGO_OPERADOR,837900,2021-02-25,2021-02-25,FRANCES_2012,3898,4000
MEMO_PAGO_OPERADOR,825561,2020-12-28,2020-12-30,FRANCES_2012,1862,5695
PAGOPOTENCIAL,96608,2020-01-08,,AMEX_PALM,8128,5400
MEMO_PAGO_OPERADOR,812454,2020-11-09,2020-11-09,FRANCES_2012,9041,3800
MEMO_PAGO_OPERADOR,822362,2020-12-14,2020-12-15,FRANCES_2012,6978,1900
PAGOPOTENCIAL,40634,2020-06-16,,AMEX_PALM,3833,10335.97
MEMO_PAGO_OPERADOR,815735,2020-11-09,2020-11-18,BSR_TARDIA,7292,2620
PAGOPOTENCIAL,57137,2020-07-02,,AMEX_PALM,3283,2034.42
PAGOPOTENCIAL,111291,2021-01-08,,AMEX_PALM,3144,500
MEMO_PAGO_OPERADOR,822286,2020-12-12,2020-12-14,FRANCES_2012,4877,3300
MEMO_PAGO_OPERADOR,763870,2020-02-28,2020-03-03,FRANCES_2012,9109,1000
MEMO_PAGO_OPERADOR,837215,2021-02-18,,FRANCES_2012,2851,0
MEMO_PAGO_OPERADOR,760934,2020-02-17,2020-10-27,FRANCES_2012,4554,0
PAGOPOTENCIAL,77793,2020-09-20,,AMEX_PALM,9226,14387
MEMO_PAGO_OPERADOR,809670,2020-10-20,2020-10-21,FRANCES_2012,7412,1000
MEMO_PAGO_OPERADOR,837722,2021-02-23,2021-02-24,FRANCES_2012,3642,2900
MEMO_PAGO_OPERADOR,751144,2020-01-06,2020-01-07,FRANCES_2012,8992,23040
PAGOPOTENCIAL,79074,2020-09-21,,HSBC_LEGALES14,3837,1000
MEMO_PAGO_OPERADOR,750585,2020-01-02,2020-01-03,FRANCES_2012,2055,2000
MEMO_PAGO_OPERADOR,798992,2020-08-31,2020-09-01,FRANCES_2012,6454,2800
MEMO_PAGO_OPERADOR,793976,2020-08-10,,FRANCES_2012,1003,0
MEMO_PAGO_OPERADOR,817936,2020-11-26,2020-11-27,FRANCES_2012,6174,4000
MEMO_PAGO_OPERADOR,787610,2020-07-06,2020-07-06,FRANCES_2012,4437,15300
MEMO_PAGO_OPERADOR,828035,2021-01-11,,FRANCES_2012,6210,0
MEMO_PAGO_OPERADOR,777612,2020-05-14,2020-05-14,FRANCES_2012,6598,16500
MEMO_PAGO_OPERADOR,843943,2021-03-24,2021-03-25,FRANCES_2012,9953,7631
MEMO_PAGO_OPERADOR,861183,2021-06-08,2021-06-08,FRANCES_2012,3242,14160
MEMO_PAGO_OPERADOR,849514,2021-04-27,2021-04-28,FRANCES_2012,6078,6400
MEMO_PAGO_OPERADOR,801877,2020-09-08,2020-09-15,BSR_TARDIA,9976,3100
PAGOPOTENCIAL,107710,2020-11-20,,AMEX_PBRM,2739,2500
PAGOPOTENCIAL,19265,2020-08-07,,AMEX_QRNM,7993,35517.89
MEMO_PAGO_OPERADOR,779887,2020-05-26,,FRANCES_2012,4347,0
MEMO_PAGO_OPERADOR,789638,2020-07-06,,HSBC_LEGALES_TEMP,4837,0
PAGOPOTENCIAL,112278,2021-02-04,,AMEX_PARM,1572,30000
MEMO_PAGO_OPERADOR,761692,2020-02-13,2020-10-27,FRANCES_2012,5473,0
PAGOPOTENCIAL,81702,2020-07-23,,AMEX_PARM,2850,29184.34
PAGOPOTENCIAL,102073,2020-05-26,,AMEX_PFLM,5873,5127
MEMO_PAGO_OPERADOR,769447,2020-03-17,2020-04-03,BSR_TARDIA,6355,20
MEMO_PAGO_OPERADOR,836922,2021-02-17,2021-02-18,FRANCES_2012,1496,2550
MEMO_PAGO_OPERADOR,761323,2020-02-18,2020-10-27,FRANCES_2012,1498,0
MEMO_PAGO_OPERADOR,807193,2020-10-11,2020-10-13,FRANCES_2012,6099,4200
